,C30+,C25-C29,C20-C24,C16-C19,C13-C14-C15,C10-C11-C12,C7-C8-C9,C6,n-C5-i-C5,n-C4-i-C4,C3,C2,C1-CO2-N2,Tc_NR,Pc_NR,Vc_NR
23,0.0145627374462142,0.1374373693718253,0.2392447515600109,0.0040557550190128,0.0220968179545298,0.2186178398507484,0.0201178765216195,0.0880974161357066,0.0201133139942514,0.0651214161490208,0.0517786029165954,0.0620120130971415,0.0567440899833226,738.8482055664062,4056457.0,0.0008283577044494
24,0.0179722002605149,0.0420089749107153,0.0715222839583924,0.006429577214696,0.0496306872859502,0.1195051997832745,0.0182273091281282,0.0804337591161035,0.1582886506554869,0.0533681973561773,0.1476305655145927,0.0066502691557816,0.2283323256601857,656.716064453125,9068976.0,0.0004196109075564
25,0.0185405487169208,0.1120776524539699,0.014468194164674,0.1869866406848254,0.0259946578173308,0.2409854191412562,0.0785056724182293,0.0089796417731807,0.0263354596504636,0.1303015691797692,0.008190350105317,0.1259376990839571,0.0226964948101054,705.5946044921875,4612079.0,0.0006854669773019
26,0.0188740513174267,0.0756595467489619,0.0580794684831909,0.1855913649082833,0.1475258008338852,0.0125339537471398,0.0507603120443182,0.0014872492841167,0.0616036761306442,0.0625187529285241,0.1023771222940784,0.114799605172354,0.1081890961070761,709.7329711914062,5544946.5,0.0006507685175165
27,0.0189650503438475,0.1562622515512945,0.0678165403655181,0.1260245671862829,0.2818661589815129,0.0012513413417672,0.1561076475271171,0.0417685998092171,0.0705769069808882,0.0106499555295253,0.0027053632128942,0.0430570351844471,0.0229485819856872,730.4324951171875,3249788.0,0.0008761268109083
28,0.0210345135569887,0.1593194380824502,0.031201072964765,0.0083805169407203,0.4029793512364319,0.152449780981194,0.0050815364954198,0.012896471592885,0.0683947812780003,0.040249774950142,0.0409119663218207,0.040511394359741,0.016589401239441,722.3119506835938,3391734.0,0.0008325175149366
29,0.0212043321729126,0.0782773758091779,0.0099762701291296,0.1634709970868209,0.028955379587356,0.214754486156826,0.0985295954862027,0.020682507461439,0.0251820218158437,0.0474410542031515,0.0514880241024453,0.1465190144977924,0.0935189414909017,691.4298706054688,5770301.0,0.0005937769892625
30,0.0212674141059649,0.075712464292755,0.0384711448402703,0.0077567358256722,0.1459127905646081,0.0196438426159761,0.0597577472781782,0.0655897235101814,0.026039516698274,0.0804620768622328,0.4307275864450675,0.0049867080457936,0.0236722489150251,667.627685546875,7558978.0,0.0004722641024272
31,0.0214061887191777,0.0873113247050988,0.2361673882381744,0.1472542056372644,0.1347483975659372,0.0453478127354645,0.1280303570672995,0.0402456320134492,0.0437344224279564,0.0323152160053262,0.0696612084133742,0.0119465639166669,0.00183128255481,735.9805297851562,3005340.5,0.0009337864466942
32,0.0220249521005127,0.1132533594490088,0.0014045328874729,0.0068321484562156,0.013114716877931,0.1847447122907523,0.0640826402967071,0.1074315891897007,0.0898806608093084,0.1853666339542778,0.1366323975669933,0.0012478675548154,0.0739837885663035,668.3268432617188,7111008.0,0.0004842056659981
33,0.0240507164812957,0.0073402081465745,0.1600000931387938,0.1738003997595713,0.079943193784211,0.2531145472631643,0.047325879845072,0.0882160240074354,0.0065296169354594,0.0330464273966162,0.0299833325968678,0.0155322690235549,0.0811172916213835,705.0472412109375,3736300.5,0.0007665755692869
34,0.0259125992805189,0.0218472325693902,0.0784938720011024,0.0591521924857491,0.0819906166568379,0.069711019814807,0.0068589571003081,0.0125061847923329,0.1323913592819613,0.26652763246287,0.0026066590916199,0.0679612388669043,0.1740404355955977,666.1690673828125,7905124.0,0.000471158651635
35,0.0277267146135119,0.2137845910668478,0.1263559534787471,0.004612213879773,0.0162676393190196,0.1275857033266277,0.0323162843460556,0.3179007540776605,0.0098565709444643,0.0424100447112793,0.000955089568137,0.0636617850533304,0.0165666556145451,741.1814575195312,4025388.5,0.0008374392054975
36,0.0278984875202279,0.0800247383850021,0.0042440160075661,0.0507430344268469,0.0945459158495197,0.1497691373152437,0.0819637159366481,0.2982495486600239,0.021254409872756,0.0331509926793524,0.0412525677426512,0.0729597053542769,0.0439437302498847,673.2526245117188,5497773.0,0.0005611449014395
37,0.0281938795844589,0.0145606710343659,0.0457675344216988,0.0410588884246544,0.089616199700093,0.0289854217896218,0.0974402330344694,0.0348674060863224,0.1801001438606803,0.1669104391759969,0.0772304799181851,0.0530680565422364,0.1422006464272161,638.8782958984375,8044840.0,0.000424729369115
38,0.0282569799466688,0.3397932804695217,0.0207168322899948,0.0912039187896187,0.0075564139514779,0.0389744849081524,0.002661768122392,0.0339124450635821,0.0413101092380622,0.1306013902531952,0.0052021777145233,0.0382366774795615,0.221573521773249,771.8265380859375,4674641.0,0.0008997587719932
39,0.0320043446552067,0.1640399811641663,0.0359236280093692,0.0351273002049473,0.1785337763380157,0.121384398660628,0.0540368896966617,0.2541269335865875,0.0307223689513648,0.0090493422473467,0.0469122361223368,0.0371401048577252,0.0009986955056438,719.8182983398438,3924465.5,0.0007778346189297
40,0.0332334809935336,0.0366598572978836,0.0429992443389402,0.0851702132231343,0.0435280761259456,0.0994109557176661,0.1040995744791513,0.002881977249064,0.2928624687872893,0.0214813427377007,0.017437032151373,0.0094174815282637,0.210818295370054,670.7153930664062,7035866.0,0.0005115929525345
41,0.0335712249721711,0.0810544184979536,0.184520623044091,0.1242535091557567,0.0644169035845513,0.0273296150700361,0.0231270865808752,0.0186032518113479,0.0503372500842894,0.1187815894803372,0.0402843124733454,0.0639092685457335,0.1698109466995108,735.6060180664062,5059632.0,0.0007628904422745
42,0.03635801358216,0.0472112248178579,0.0271144396290478,0.1252988873092462,0.0045778180549164,0.031570601232304,0.3528168736329804,0.0900473769007166,0.0358153166379895,0.0063464462263374,0.1682584127150946,0.0110653824772104,0.0635192067841382,671.530029296875,5732101.0,0.0005577598349191
43,0.0369850545195144,0.1101564012631054,0.1236049832206348,0.2616068734300305,0.003483884380119,0.1572879523880786,0.0402752067385848,0.0109586221847291,0.0731594138411228,0.0099265412090195,0.0903332116371359,0.0263740535954811,0.0558478015924433,737.2534790039062,3460288.0,0.0009046865743584
44,0.0373171881373101,0.0926971964305642,0.0370764289510871,0.0756694717231046,0.1126867219667243,0.1427021350472814,0.0353412634569056,0.1847745759294079,0.0644956010237241,0.0351963885419035,0.0978002565868652,0.0689698337876617,0.01527293841746,699.4834594726562,4846087.0,0.000665565021336
45,0.0381904793526114,0.1014388475979761,0.0445341535795221,0.0628948940768309,0.1699747103849951,0.0454233947931758,0.1025738865034093,0.0851324389327036,0.0646619717809694,0.0575388760924155,0.0648478883375662,0.149843205058571,0.012945253509253,707.1611938476562,5078223.0,0.0006743799312971
46,0.0391253723618433,0.0897338688452147,0.0858094423314675,0.1842524980747978,0.0267308998380561,0.0583161856839652,0.0003845262206002,0.0762492986620136,0.006248288036701,0.0191679777508647,0.0160406075999961,0.1801085386691359,0.217832495925343,731.1024780273438,6142097.5,0.0006866258918307
