,CO2,CH4,C2,C3,C4,C5,C6,C7+(1),C7+(2),C7+(3),C7+(4),C7+(5),Tc_NR,Pc_NR,Vc_NR
20,0.0159669648939715,0.0277565733880401,0.0024296163193394,0.1618480206313831,0.0120733792093583,0.0041454163762471,0.111293153226948,0.0534843418288708,0.0410143220430234,0.2712562039819179,0.0924814751059157,0.2062505329949842,852.8823852539062,5429373.0,0.0007410536636598
21,0.0169479309267009,0.0959913989291704,0.09732666752552,0.0343827638778143,0.0021483445341965,0.0606527886739564,0.0686154342705287,0.0847288417200504,0.0049164164538021,0.0150720372934298,0.1459177720916382,0.3732996037031916,926.57373046875,5728657.0,0.000854768208228
22,0.0173467484526463,0.1519034262138019,0.0212913406421525,0.1202316303072536,0.0323135571886488,0.0796004593022918,0.0311017846127465,0.0347785998378481,0.3319658851318883,0.001703598837759,0.0394417278310765,0.1383212416418859,794.1661376953125,9824494.0,0.0004749097861349
23,0.0181560435358654,0.170293063624676,0.0017769543812295,0.0727682552125138,0.2266369389922672,0.0921815878166333,0.103837946853754,0.0456451544841378,0.0087560567151884,0.0705021985464241,0.1724311904746106,0.0170146093626994,734.88671875,10930583.0,0.000406734587159
24,0.0194843488080496,0.0774998828215514,0.1102372467593975,0.0409389563053095,0.0878929395811821,0.0067087089202447,0.0986912811505863,0.1156473849435967,0.0350612486607492,0.1225779631975128,0.1782338248582428,0.107026213993577,815.99169921875,7490461.0,0.0005901269614696
25,0.019934415988821,0.1958303512559388,0.2080622145064618,0.0733878164159692,0.0739230125868763,0.0993373814554147,0.0052616663229125,0.0595427974453346,0.0803221078417652,0.1097944089841479,0.0176499559621172,0.0569538712342407,709.119140625,17149290.0,0.000293526565656
26,0.020528054692162,0.1465753444974855,0.0429301728689356,0.0684820415559767,0.0046638986531696,0.1104875523832079,0.1279385313092392,0.0850226997181522,0.1929387266422332,0.0071736083545023,0.006494600769418,0.1867647685555174,820.4575805664062,11193586.0,0.0004616005753632
27,0.0208166181932952,0.0043531011725743,0.1949798253305119,0.0363247512321847,0.3804087733739189,0.1593635701171964,0.0618979678625106,0.0101694803394685,0.0393642248597891,0.0344049171483436,0.0471980987936978,0.0107186715765084,572.9862060546875,13840992.0,0.0002164941834053
28,0.0214429158709534,0.1137708402891217,0.1505646623267242,0.0439556256626276,0.196330495470482,0.0444105613567822,0.0425486230145479,0.1460374322120864,0.0282987309005641,0.0051357494243937,0.1990566881846885,0.008447675287028,731.1355590820312,11060424.0,0.0003985912480857
29,0.0215075623861586,0.0053628580073033,0.0270334873332762,0.2210657695646607,0.0144520383879621,0.1575311680906939,0.0201279324768948,0.0088648737077218,0.2171827811076626,0.1835681693580606,0.0018060433774447,0.12149731620216,778.355712890625,7918584.0,0.0005072042695246
30,0.021681465304487,0.0311882651662801,0.0049997776297956,0.1672505957141145,0.08768963878722,0.0810862139800098,0.0361028955271053,0.2039636597803617,0.1194149885707556,0.1010579170632554,0.0855768967552813,0.0599876857213331,745.4488525390625,7837939.0,0.0004697645490523
31,0.0221604053907386,0.0083743237041818,0.0343247639513819,0.2815094782447899,0.1081756687495422,0.0895930010548035,0.0195887957684176,0.1523885403231066,0.113376761104038,0.0099936794294794,0.0834346604982362,0.0770799217812839,738.0012817382812,11453734.0,0.0003729631716851
32,0.0225847878784216,0.1358006215976845,0.0867160069712294,0.0802366355070794,0.0096168352187843,0.0407811268081906,0.0350510806288245,0.0037424492971426,0.0526493466880579,0.0197340804466151,0.3913002229115853,0.1217868060463844,858.94384765625,5879177.5,0.0007718126871623
33,0.0238537773616346,0.0655427877052255,0.1757599749077269,0.0133016944458943,0.1324912246536065,0.0127854440762428,0.0168076205450467,0.1792737366087936,0.1759298113935846,0.1306620939014472,0.0037833805562304,0.0698084538445665,730.97412109375,9542526.0,0.000411995279137
34,0.024391241866619,0.1893136088874423,0.0954503314318197,0.0409202551324574,0.0239311112454042,0.0649400922101206,0.226663830388374,0.0900634677839213,0.0055569200129512,0.1935247529243727,0.0346135560158499,0.0106308321006671,685.09814453125,10324957.0,0.0003769538307096
35,0.02465243022163,0.1177178202321635,0.1878690427858457,0.0428923648826225,0.0874030680455288,0.0091870325207026,0.0147697681450138,0.1081572711015109,0.0432704961205311,0.1387024200529314,0.0530792158840924,0.1722990700074268,840.0630493164062,10200105.0,0.0005202703760005
36,0.0249419757967754,0.0483011624204566,0.0631089441026589,0.028833748339839,0.0264441276477127,0.0794198251955118,0.0032563250893307,0.0995601784732827,0.1168793499738512,0.1919377764723899,0.1552138894877136,0.1621026970004769,840.38720703125,5313136.0,0.0007359516457654
37,0.0252964629193958,0.0063539848289093,0.0672199869913434,0.0776836594443709,0.0016436698425781,0.0300515210393468,0.1554806291387243,0.1302743068803404,0.0169638601475738,0.3144519399720357,0.1699790677349205,0.0046009110604603,758.7195434570312,4577395.5,0.000704712816514
38,0.0272645659050639,0.0118619513803698,0.2577442626202195,0.0450028863584045,0.0839976112318284,0.0234663814319403,0.0185917296662619,0.1464484145919806,0.0245917391893124,0.003469696087445,0.22988586857752,0.1276748929596528,836.8226928710938,8613473.0,0.0005704429931938
39,0.0273466632997254,0.0152442863480168,0.0279837923363618,0.1467244661666525,0.0968891127153369,0.3442887700401691,0.0550022785074117,0.0207088591057246,0.0888459573179997,0.1070687672445445,0.0323010614942146,0.0375959854238421,671.6749267578125,10534164.0,0.000331248389557
40,0.0274357763831297,0.3797686926816861,0.1599363944456911,0.0436926936797277,0.0144998547669085,0.0413484081189434,0.0579470382348761,0.0071997762778628,0.0812449185069258,0.0180046770371663,0.0549327137637961,0.1139890561032859,805.293212890625,21240028.0,0.000318480131682
41,0.0281158145541826,0.2680506704956982,0.0639271981914041,0.0509878402612751,0.1723419882342839,0.059484589057979,0.1124999920274059,0.0432428035596556,0.0948100055522899,0.0063106274663977,0.0444675176095943,0.0557609529898331,679.8501586914062,20752640.0,0.0002458653762005
