,CO2,CH4,C2,C3,C4,C5,C6,C7+(1),C7+(2),C7+(3),C7+(4),C7+(5),Tc_NR,Vc_NR,Pc_NR
104,0.008457472,0.018585704,0.150191099,0.19749436,0.096588486,0.063202829,0.145605827,0.067027949,0.049785442,0.111806731,0.043912278,0.047341824,696.5008545,0.000332818,12132514
105,0.00848443,0.001257891,0.108283457,0.082612134,0.111466004,0.120784161,0.003398059,0.114566079,0.112383096,0.040509178,0.051094964,0.245160546,863.5168457,0.000602644,8068513
106,0.00856463,0.370402187,0.095605311,0.056395862,0.02906854,0.264065618,0.042859476,0.043919902,0.011093847,0.003460149,0.03405702,0.040507457,584.635437,0.000158353,32793728
107,0.008567955,0.376961636,0.036783236,0.037481756,0.098124111,0.04723737,0.032652037,0.009522962,0.010385683,0.054599275,0.016666437,0.271017543,910.7692871,0.000533127,12537775
108,0.008764601,0.013655613,0.109827514,0.114590932,0.015894819,0.146190232,0.030771729,0.177377152,0.130548591,0.19490316,0.022603084,0.034872574,714.8966675,0.000471939,6993116
109,0.008810012,0.082725721,0.009427699,0.339514653,0.034519679,0.028442742,0.07684303,0.219416499,0.043946441,0.053957529,0.053671791,0.048724203,693.7627563,0.000318622,12581404
110,0.008843494,0.004869578,0.302148597,0.021375279,0.044615567,0.163811432,0.075378321,0.004809337,0.037629167,0.068318688,0.085677975,0.182522565,843.9899292,0.000506973,10643368
111,0.009122535,0.206152127,0.083777196,0.110724603,0.048001746,0.108405113,0.033433428,0.022770295,0.021449489,0.013284447,0.211183387,0.131695632,844.770752,0.000529026,10457752
112,0.009192318,0.010391566,0.26371275,0.179482299,0.202498386,9.86E-06,0.123177125,0.061383293,0.034585729,0.090189573,0.018079307,0.007297798,595.4574585,0.000246358,13073392
113,0.00929898,0.230387553,0.297676516,0.020799716,0.023651946,0.000616169,0.006400165,0.043878061,0.073800427,0.106976394,0.106303242,0.080210831,795.6929321,0.000418536,13408694
114,0.009326994,0.016272115,0.098487769,0.118641035,0.048955527,0.238303463,0.199145909,0.082152672,0.093534624,0.007293557,0.018849934,0.069036401,650.0753174,0.000268546,13325962
115,0.009577329,0.039734785,0.086196646,0.41655575,0.078540707,0.104574405,0.024585601,0.003507568,0.009746831,0.191328111,0.015971201,0.019681066,662.4172363,0.000302283,13144168
116,0.009590693,0.000460185,0.044878243,0.04349397,0.106662885,0.199337188,0.089816396,0.01630555,0.211879252,0.114990241,0.083058813,0.079526583,760.6948853,0.000519679,6930132
117,0.009614819,0.08238363,0.062466674,0.062414523,0.007533444,0.143101748,0.071481644,0.045376072,0.067157915,0.208011435,0.199343677,0.041114419,784.3149414,0.000641844,5955250
118,0.009685342,0.074422552,0.073750946,0.377757754,0.023343275,0.030131616,0.060149115,0.015092353,0.001144509,0.266978974,0.052042401,0.015501162,717.6552734,0.000424483,9805559
119,0.010015419,0.001230644,0.041743444,0.079183724,0.060325194,0.103072857,0.053811712,0.181112302,0.106426165,0.169841217,0.153830159,0.039407162,762.9122314,0.000611058,5426886
120,0.010094155,1.75E-05,0.343773601,0.04317034,0.099791817,0.109031877,0.01249441,0.044469532,0.145539585,0.003633842,0.125488675,0.062494681,752.1380615,0.000387493,12155912
121,0.010100739,0.018812224,0.008884225,0.031549744,0.090048189,0.1683823,0.062494523,0.058376036,0.027596313,0.147442875,0.040139776,0.336173057,897.6206055,0.000780897,5719097
122,0.010234879,0.047274725,0.112364693,0.117280244,0.135176581,0.065631132,0.0339099,0.326936309,0.041111068,0.082744099,0.015348685,0.011987686,637.1661377,0.000330476,8809520
123,0.010253952,0.055307555,0.031983327,0.073676519,0.032489433,0.026247566,0.10010399,0.23062517,0.047224872,0.254879125,0.034873852,0.10233464,781.1404419,0.000561246,6532109
124,0.01067749,0.017543424,0.035564269,0.081195937,0.060088844,0.043285714,0.02543272,0.304909636,0.356844577,0.00867402,0.045504578,0.010278789,684.8242798,0.000527644,4839972
125,0.010993584,0.019075668,0.03204094,0.015622558,0.043205699,0.023135985,0.090655252,0.119864209,0.19885164,0.177064131,0.079106359,0.190383975,835.3148193,0.000721212,4996315
126,0.011004177,0.019268029,0.191181131,0.043054201,0.005983965,0.133060186,0.231988518,0.036871148,0.066670687,0.091925044,0.046536183,0.122456733,777.3817139,0.000423133,11007529
127,0.011081299,0.123719967,0.341462981,0.093870282,0.025683157,0.105557825,0.167695143,0.009440159,0.032372968,0.020113189,0.008566314,0.060436716,598.9805298,0.000175728,27969584
128,0.011194345,0.103407042,0.040365364,0.215881407,0.062131157,0.061948231,0.063471599,0.013205615,0.095552959,0.262020564,0.062192215,0.008629503,723.4976196,0.000510947,7409702
129,0.011226213,0.085729081,0.023658344,0.003576628,0.085292172,0.023929723,0.457271443,0.0078209,0.065067198,0.059313643,0.077254869,0.099859785,756.6082764,0.000416776,10238935
130,0.011294727,0.026804081,0.035615846,0.128639852,0.216943576,0.019779589,0.038611873,0.096783816,0.021205293,0.333802648,0.001145509,0.069373191,753.5437622,0.000503611,7464759
131,0.011368178,0.203637385,0.218869461,0.284391712,0.009794116,0.02759084,0.006421499,0.081187735,0.014645404,0.056659975,0.047767106,0.037666588,666.2630615,0.000218437,24166602
132,0.011536726,0.055830361,0.041267517,0.188991996,0.001496628,0.026790579,0.046183889,0.086594387,0.213875499,0.260726651,0.0090745,0.057631268,748.7861938,0.000551341,6310608
133,0.011661541,0.012825512,0.133930452,0.077649552,0.071433944,0.262292641,0.032296226,0.25735111,0.0861107,0.002361753,0.025984786,0.026101782,611.6635742,0.000270839,9838454
134,0.011741561,0.248755801,0.019424061,0.064312626,0.003181868,0.095268276,0.195558918,0.142733867,0.001526724,0.045617639,0.15617843,0.01570023,724.4490356,0.000384951,11469699
135,0.011769924,0.319904898,0.023945891,0.030289529,0.030169719,0.121910163,0.076996811,0.128304618,0.013825706,0.174327611,0.04489781,0.02365732,709.7305298,0.000363287,12273105
136,0.011807246,0.030253198,0.053233468,0.10600555,0.165983114,0.071307683,0.072098041,0.082244874,0.120412601,0.152990435,0.092813664,0.040850126,740.1837769,0.000488428,7552570
137,0.012262245,0.042238608,0.06970406,0.086805118,0.017234738,0.07903135,0.013884317,0.115207402,0.0805986,0.033812637,0.399425935,0.049794989,818.647522,0.0007655,4932127.5
138,0.012280207,0.097461186,0.057308555,0.169667883,0.044484899,0.173415028,0.13034574,0.136055583,0.018115376,0.112357263,0.011596405,0.036911874,651.6175537,0.000286795,12535226
139,0.012299063,0.166563595,0.076512109,0.03191869,0.418679816,0.010103963,0.063726949,0.01041587,0.026748313,0.111071555,0.065020698,0.006939378,660.7354126,0.00029783,13727721
140,0.012340398,0.121850216,0.047970806,0.160830753,0.016281497,0.100205309,0.0139253,0.108595371,0.110851021,0.159110811,0.079196269,0.068842248,766.4668579,0.000483297,8803371
141,0.012342994,0.073743112,0.058471297,0.076464395,0.118618722,0.12916285,0.045428557,0.034618538,0.055684362,0.322270427,0.063080655,0.010114092,731.9730225,0.000564641,6314035
142,0.012502618,0.013468067,0.129116675,0.135362889,0.094189599,0.037317878,0.128358554,0.100912181,0.045931895,0.085611743,0.115722311,0.101505591,787.4140625,0.000472901,9536139
143,0.012630534,0.021787993,0.196698098,0.062282765,0.019752636,0.155878524,0.111071915,0.018335135,0.027509496,0.14731813,0.171124816,0.055609958,778.7641602,0.00052177,8251048
144,0.012778148,0.10718864,0.009734013,0.018258282,0.013947561,0.163558622,0.016381095,0.09931328,0.026011894,0.031218488,0.291859729,0.209750248,876.5849609,0.000799544,5390370
145,0.013149907,0.121060483,0.058304862,0.173645119,0.01027173,0.009597947,0.017221993,0.149912306,0.073962265,0.002753968,0.039376705,0.330742713,911.4595947,0.000683696,7948479.5
146,0.013334248,0.096213951,0.083042646,0.135754676,0.030814422,0.14434187,0.054787378,0.064691712,0.03141039,0.121669483,0.149663805,0.074275418,786.3296509,0.000494644,9242845
147,0.013551287,0.063948664,0.011154529,0.002649009,0.106092062,0.002674328,0.135069736,0.303130038,0.151229057,0.093273466,0.089191045,0.028036779,722.4715576,0.000514131,5943092
148,0.013698948,0.00672741,0.136803872,0.081763959,0.114920636,0.074502289,0.003579091,0.159209101,0.00671462,0.283407341,0.027798518,0.090874216,774.4244385,0.00051277,7799235
149,0.013723893,0.056628345,0.048589211,0.099646936,0.021517262,0.049972419,0.009674232,0.407868428,0.070951911,0.022238633,0.10151538,0.097673351,774.0999146,0.00047585,8264280
150,0.013963807,0.168820813,0.030118884,0.192064184,0.055935528,0.006686444,0.102614099,0.047158813,0.033803167,0.264633638,0.06320306,0.020997563,734.9157715,0.000475159,8714128
151,0.014003056,0.041405991,0.210359067,0.001323821,0.062648984,0.014215244,0.004140505,0.284217153,0.125798934,0.14341863,0.052700526,0.045768089,735.0599976,0.000472632,7657922
152,0.014078733,0.052337662,0.16096941,0.11677528,0.00065236,0.133655957,0.088120652,0.187440332,0.070985803,0.046448107,0.127028711,0.001506992,694.9093628,0.000404719,9000911
