,Carbon Dioxide,Nitrogen,Methane,Ethane,Propane,iButane,nButane,iPentane,nPentane,nHexane,nHeptane,Tc_NR,Vc_NR,Pc_NR
22,0.002073074,0.272997145,0.036671435,0.008472742,0.043918143,0.472937485,0.021933021,0.036826329,0.048751363,0.021115115,0.034304148,411.4255066,0.000196797,9608899
23,0.002196732,0.104980434,0.166249584,0.231637107,0.080046493,0.086862173,0.064402686,0.014484726,0.17534228,0.002050465,0.07174732,411.57901,0.000184132,9730278
24,0.002300224,0.111354203,0.232639874,0.07799618,0.111681541,0.024422209,0.0188694,0.367480693,0.003207606,0.015351896,0.034696174,418.4642029,0.00019595,9493449
25,0.002509988,0.029746994,0.089132621,0.1310526,0.122784054,0.298030703,0.03670203,0.106430503,0.114650189,0.04530176,0.023658558,421.4207153,0.000239296,5945501
26,0.002638794,0.102797357,0.054803888,0.088278307,0.105237657,0.11095891,0.09596343,0.139822074,0.142537115,0.074943055,0.082019411,447.0650024,0.000252511,6738768
27,0.002781728,0.162876644,0.078285264,0.330820401,0.043711688,0.232850439,0.076793996,0.007225503,0.040180287,0.002895691,0.021578359,374.9542542,0.000163653,9452528
28,0.002893243,0.151524272,0.102151489,0.308690443,0.015281087,0.031132902,0.113364507,0.058112511,0.015711933,0.010672954,0.190464657,435.8307495,0.00019146,10979506
29,0.003044044,0.197363563,0.166540007,0.159506511,0.148681521,0.081922551,0.082432753,0.004571448,0.070966444,0.016517827,0.068453333,396.4786072,0.000156366,12439454
30,0.003623395,0.05938958,0.064874077,0.007547351,0.251868286,0.213407823,0.132870642,0.002429987,0.176757353,0.07347223,0.013759275,426.5016785,0.000247046,5816366
31,0.0036468,0.096620909,0.110848523,0.018330532,0.051182763,0.182467695,0.138195385,0.097157329,0.047101514,0.240573779,0.013874771,448.9718323,0.000256493,6763164
32,0.003905268,0.129330969,0.01551736,0.079829132,0.160458739,0.091883862,0.012266524,0.002518795,0.114853599,0.341154447,0.048281306,464.1513672,0.000271686,6698907
33,0.004043486,0.098670912,0.112887507,0.04460509,0.019704435,0.078483283,0.062284139,0.147516645,0.087932639,0.005379819,0.338492045,484.7040405,0.00029245,6788699
34,0.004202704,0.063344906,0.073334327,0.039586891,0.064965763,0.175045984,0.084201084,0.081731485,0.308422262,0.019228296,0.085936297,450.7723999,0.000272349,5805172
35,0.004266742,0.100152882,0.133521008,0.250984019,0.029790831,0.040968194,0.043441733,0.166143657,0.102539234,0.099649091,0.02854261,425.3469543,0.000204985,8825586
36,0.004305105,0.052315399,0.155521825,0.308983334,0.309597944,0.045945613,0.008439832,0.001817934,0.050177049,0.048817914,0.01407805,372.1651306,0.000163748,8357884
37,0.00444945,0.059789266,0.10581251,0.072819098,0.188530995,0.054480081,0.365398999,0.056582899,0.00304116,0.073331238,0.015764304,416.1427002,0.000223472,6598848
38,0.004530224,0.001301996,0.010822817,0.048582168,0.040445836,0.247205911,0.202513339,0.068347024,0.001417736,0.282941582,0.091891367,466.4467468,0.000319506,4279192
39,0.004610088,0.12217482,0.208674909,0.057134078,0.075414362,0.136778034,0.054779678,0.084038161,0.2122008,0.005907079,0.038287991,420.41745,0.00020035,9222280
40,0.004610597,0.148997365,0.041316406,0.001720764,0.256128698,0.042456128,0.068913244,0.13034632,0.143075191,0.132809982,0.029625304,442.5318909,0.000242999,7219689
41,0.004617129,0.120077625,0.09721519,0.004813386,0.024358232,0.294582273,0.013573178,0.175969734,0.056957272,0.095500682,0.112335298,454.7106628,0.000259838,6981831
42,0.004662938,0.015984776,0.090997825,0.02479815,0.162155687,0.161769905,0.140076831,0.002134713,0.113215546,0.262267804,0.021935826,451.1427002,0.000277516,5390887
43,0.004743812,0.097323143,0.094173967,0.033650859,0.05250241,0.004944625,0.051734867,0.087607905,0.346560569,0.020263183,0.20649466,475.1746826,0.000288194,6432219
44,0.004766937,0.265867222,0.041628929,0.053664423,0.003607681,0.116472909,0.073638394,0.051228442,0.209014589,0.021063576,0.159046896,458.8467712,0.000228642,9851157
45,0.005146948,0.005349437,0.147067826,0.163192951,0.060291904,0.104566654,0.029621688,0.007246863,0.071900177,0.245412817,0.160202735,467.4318237,0.000272996,6497723
46,0.005209055,0.147455202,0.002953946,0.025742996,0.113334083,0.130164296,0.037775313,0.151319578,0.150681532,0.189195769,0.04616823,458.1877747,0.000273235,6391939
